Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,B365CH,B365CD,B365CA,B365C>2.5,B365C<2.5
07/12/2022,Otters,Moles,0,0,1.56,5.04,7.03,1.97,2.11,1.53,4.47,6.51,1.96,1.92
10/12/2022,Rabbits,Lions,1,2,9.84,6.24,1.38,1.77,2.29,9.65,5.53,1.34,1.74,2.19
13/12/2022,Rabbits,Eagles,0,4,7.36,4.97,1.65,1.9,2.33,6.93,4.77,1.48,1.82,2.08
16/12/2022,Rabbits,Bears,0,1,5.3,4.21,1.74,2.05,1.9,5.1,4.11,1.69,1.99,1.89
19/12/2022,Rabbits,Wolves,1,0,3.98,3.77,2.24,2.25,1.92,3.91,3.72,1.98,2.16,1.76
22/12/2022,Rabbits,Foxes,0,1,3.46,4.01,2.54,2.26,1.84,3.23,3.57,2.26,2.21,1.73
25/12/2022,Rabbits,Otters,1,1,2.9,3.53,2.83,2.57,1.68,2.75,3.42,2.67,2.4,1.63
28/12/2022,Rabbits,Moles,1,1,2.0,4.11,4.73,2.24,1.85,1.79,3.9,4.61,2.1,1.8
31/12/2022,Moles,Lions,1,4,17.17,7.9,1.19,1.61,2.93,15.85,7.69,1.19,1.49,2.76
03/01/2023,Moles,Eagles,0,2,10.97,6.59,1.37,1.59,2.62,10.78,6.24,1.29,1.57,2.53
06/01/2023,Moles,Bears,0,4,7.87,5.09,1.58,1.9,2.42,7.45,5.03,1.43,1.74,2.2
09/01/2023,Moles,Wolves,1,2,5.44,4.72,1.7,1.92,2.11,5.41,4.29,1.63,1.91,1.97
12/01/2023,Moles,Foxes,2,4,4.87,4.24,1.99,2.2,2.05,4.32,3.96,1.83,1.98,1.9
15/01/2023,Moles,Otters,1,2,3.63,3.94,2.29,2.44,1.82,3.54,3.63,2.11,2.19,1.74
18/01/2023,Moles,Rabbits,1,0,2.73,3.54,2.62,2.41,1.92,2.72,3.52,2.63,2.23,1.72
21/01/2023,Lions,Eagles,2,1,1.9,4.22,4.42,1.98,2.34,1.78,4.17,4.37,1.8,2.11
24/01/2023,Lions,Bears,1,1,1.7,4.83,6.22,1.95,2.28,1.56,4.59,5.86,1.77,2.15
27/01/2023,Lions,Wolves,1,2,1.5,5.64,8.43,1.86,2.45,1.4,5.24,8.09,1.71,2.24
30/01/2023,Lions,Foxes,3,0,1.29,6.59,10.85,1.81,2.68,1.29,6.12,10.8,1.61,2.44
02/02/2023,Lions,Otters,0,0,1.39,7.57,16.02,1.68,2.58,1.22,6.93,14.29,1.6,2.47
05/02/2023,Lions,Rabbits,3,0,1.21,9.72,25.61,1.62,3.09,1.13,9.59,23.89,1.44,2.97
08/02/2023,Lions,Moles,3,1,1.11,16.37,49.6,1.35,4.52,1.06,15.86,46.29,1.26,4.25
11/02/2023,Eagles,Lions,2,1,2.67,3.95,3.03,2.06,2.14,2.54,3.79,2.67,1.88,2.01
14/02/2023,Eagles,Bears,2,1,1.99,4.71,4.75,1.93,2.26,1.78,4.17,4.37,1.8,2.11
17/02/2023,Eagles,Wolves,1,1,1.75,4.8,5.87,1.77,2.17,1.56,4.59,5.86,1.77,2.15
20/02/2023,Eagles,Foxes,4,1,1.47,5.29,8.47,1.7,2.54,1.42,5.18,7.61,1.68,2.29
23/02/2023,Eagles,Otters,1,0,1.36,6.4,10.27,1.89,2.3,1.32,5.72,9.9,1.68,2.29
26/02/2023,Eagles,Rabbits,3,0,1.22,8.0,15.67,1.67,2.78,1.2,7.52,15.8,1.53,2.66
01/03/2023,Eagles,Moles,5,1,1.15,12.56,32.13,1.33,4.01,1.1,11.56,28.61,1.33,3.61
04/03/2023,Bears,Lions,0,2,3.54,4.09,2.35,2.1,1.96,3.19,3.8,2.2,1.93,1.95
07/03/2023,Bears,Eagles,1,2,2.69,3.98,2.72,2.13,2.12,2.54,3.79,2.67,1.88,2.01
10/03/2023,Bears,Wolves,1,0,1.88,4.24,4.86,2.11,2.17,1.8,4.04,4.37,1.92,1.96
13/03/2023,Bears,Foxes,0,2,1.61,4.52,5.96,2.07,2.21,1.61,4.39,5.49,1.84,2.05
16/03/2023,Bears,Otters,4,1,1.5,5.3,7.03,1.97,2.04,1.48,4.7,6.97,1.87,2.02
19/03/2023,Bears,Rabbits,4,0,1.33,5.92,10.42,1.7,2.44,1.31,5.8,10.52,1.71,2.25
22/03/2023,Bears,Moles,3,0,1.32,8.31,18.0,1.58,3.06,1.17,8.2,17.56,1.47,2.87
25/03/2023,Wolves,Lions,2,2,4.64,4.12,1.87,2.02,2.05,4.1,3.96,1.87,1.94,1.94
28/03/2023,Wolves,Eagles,0,0,3.58,4.0,2.28,2.01,2.12,3.19,3.8,2.2,1.93,1.95
31/03/2023,Wolves,Bears,1,3,2.6,4.11,2.87,2.03,2.11,2.57,3.68,2.7,2.01,1.88
03/04/2023,Wolves,Foxes,1,0,2.04,4.36,4.64,1.99,2.04,1.87,3.9,4.14,2.0,1.89
06/04/2023,Wolves,Otters,3,2,1.83,4.15,5.3,2.09,1.98,1.69,4.06,5.14,2.06,1.84
09/04/2023,Wolves,Rabbits,2,0,1.58,5.1,8.3,1.96,2.14,1.46,4.74,7.39,1.9,1.98
12/04/2023,Wolves,Moles,3,0,1.28,6.97,12.59,1.82,2.46,1.28,6.22,11.49,1.63,2.39
15/04/2023,Foxes,Lions,0,2,5.51,4.43,1.73,1.97,2.28,5.12,4.27,1.66,1.87,2.02
18/04/2023,Foxes,Eagles,1,1,4.16,4.11,2.07,1.96,2.24,3.88,3.96,1.92,1.89,2.0
21/04/2023,Foxes,Bears,1,2,3.21,3.78,2.45,2.03,2.04,3.05,3.72,2.3,2.0,1.89
24/04/2023,Foxes,Wolves,1,2,2.56,3.97,3.13,2.32,1.97,2.48,3.64,2.83,2.07,1.82
27/04/2023,Foxes,Otters,0,1,2.11,4.25,4.69,2.37,1.77,1.9,3.78,4.15,2.14,1.77
30/04/2023,Foxes,Rabbits,2,1,1.8,4.58,6.26,2.27,2.07,1.61,4.24,5.77,2.01,1.88
03/05/2023,Foxes,Moles,3,0,1.52,5.89,8.62,1.76,2.42,1.38,5.3,8.59,1.73,2.2
06/05/2023,Otters,Lions,0,5,7.32,5.04,1.7,2.05,2.14,6.46,4.54,1.52,1.9,1.98
09/05/2023,Otters,Eagles,1,2,5.24,4.53,1.71,2.19,2.13,4.82,4.1,1.72,1.95,1.93
12/05/2023,Otters,Bears,1,3,4.19,4.17,2.23,2.08,1.93,3.71,3.73,2.03,2.1,1.8
15/05/2023,Otters,Wolves,1,3,3.07,3.8,2.74,2.47,1.73,2.96,3.54,2.44,2.22,1.72
18/05/2023,Otters,Foxes,1,0,2.75,3.98,2.99,2.5,1.93,2.51,3.53,2.86,2.23,1.72
21/05/2023,Otters,Rabbits,1,0,1.88,4.1,4.93,2.39,1.72,1.82,3.77,4.61,2.26,1.7
24/05/2023,Otters,Moles,2,0,1.7,4.92,7.29,2.02,2.0,1.53,4.47,6.51,1.96,1.92
27/05/2023,Rabbits,Lions,3,2,10.08,5.64,1.44,1.8,2.36,9.65,5.53,1.34,1.74,2.19
30/05/2023,Rabbits,Eagles,1,2,7.13,4.99,1.57,2.02,2.15,6.93,4.77,1.48,1.82,2.08
02/06/2023,Rabbits,Bears,0,1,5.24,4.57,1.85,2.2,1.96,5.1,4.11,1.69,1.99,1.89
05/06/2023,Rabbits,Wolves,2,2,3.95,3.71,2.1,2.18,1.79,3.91,3.72,1.98,2.16,1.76
08/06/2023,Rabbits,Foxes,3,0,3.5,3.98,2.26,2.3,1.77,3.23,3.57,2.26,2.21,1.73
11/06/2023,Rabbits,Otters,1,1,2.99,3.46,2.93,2.54,1.7,2.75,3.42,2.67,2.4,1.63
14/06/2023,Rabbits,Moles,3,0,1.78,3.9,4.61,2.35,2.01,1.79,3.9,4.61,2.1,1.8
17/06/2023,Moles,Lions,0,3,17.23,7.73,1.33,1.64,2.81,15.85,7.69,1.19,1.49,2.76
20/06/2023,Moles,Eagles,0,2,11.3,6.79,1.39,1.58,2.53,10.78,6.24,1.29,1.57,2.53
23/06/2023,Moles,Bears,1,0,7.86,4.99,1.49,1.93,2.34,7.45,5.03,1.43,1.74,2.2
26/06/2023,Moles,Wolves,1,2,6.05,4.73,1.67,2.08,2.02,5.41,4.29,1.63,1.91,1.97
29/06/2023,Moles,Foxes,0,1,4.72,3.99,1.99,2.14,2.11,4.32,3.96,1.83,1.98,1.9
02/07/2023,Moles,Otters,0,1,3.83,3.91,2.34,2.34,1.84,3.54,3.63,2.11,2.19,1.74
05/07/2023,Moles,Rabbits,0,0,3.01,3.73,2.81,2.46,1.83,2.72,3.52,2.63,2.23,1.72
08/07/2023,Lions,Eagles,3,0,1.95,4.58,4.46,1.94,2.31,1.78,4.17,4.37,1.8,2.11
11/07/2023,Lions,Bears,1,1,1.55,4.86,6.59,1.93,2.38,1.56,4.59,5.86,1.77,2.15
14/07/2023,Lions,Wolves,2,3,1.49,5.36,8.7,1.92,2.4,1.4,5.24,8.09,1.71,2.24
17/07/2023,Lions,Foxes,2,1,1.34,6.36,11.9,1.6,2.55,1.29,6.12,10.8,1.61,2.44
20/07/2023,Lions,Otters,0,1,1.32,6.91,14.31,1.67,2.49,1.22,6.93,14.29,1.6,2.47
23/07/2023,Lions,Rabbits,2,2,1.13,10.37,24.16,1.45,3.2,1.13,9.59,23.89,1.44,2.97
26/07/2023,Lions,Moles,2,2,1.19,17.99,52.15,1.25,4.45,1.06,15.86,46.29,1.26,4.25
29/07/2023,Eagles,Lions,2,2,2.53,4.26,3.03,2.01,2.15,2.54,3.79,2.67,1.88,2.01
01/08/2023,Eagles,Bears,4,2,1.77,4.21,4.86,1.83,2.17,1.78,4.17,4.37,1.8,2.11
04/08/2023,Eagles,Wolves,2,1,1.62,5.2,6.61,1.87,2.42,1.56,4.59,5.86,1.77,2.15
07/08/2023,Eagles,Foxes,1,1,1.59,5.57,7.98,1.9,2.39,1.42,5.18,7.61,1.68,2.29
10/08/2023,Eagles,Otters,3,0,1.33,6.32,10.79,1.68,2.58,1.32,5.72,9.9,1.68,2.29
13/08/2023,Eagles,Rabbits,0,1,1.23,7.9,17.82,1.58,2.96,1.2,7.52,15.8,1.53,2.66
16/08/2023,Eagles,Moles,0,0,1.14,12.52,28.6,1.47,3.78,1.1,11.56,28.61,1.33,3.61
19/08/2023,Bears,Lions,0,1,3.48,3.85,2.31,2.01,2.1,3.19,3.8,2.2,1.93,1.95
22/08/2023,Bears,Eagles,1,4,2.71,4.21,2.93,2.05,2.17,2.54,3.79,2.67,1.88,2.01
25/08/2023,Bears,Wolves,0,1,1.91,4.29,4.74,1.9,2.2,1.8,4.04,4.37,1.92,1.96
28/08/2023,Bears,Foxes,6,2,1.75,4.76,5.91,1.9,2.04,1.61,4.39,5.49,1.84,2.05
31/08/2023,Bears,Otters,2,0,1.47,4.69,7.82,2.0,2.07,1.48,4.7,6.97,1.87,2.02
03/09/2023,Bears,Rabbits,2,3,1.35,5.91,11.28,1.7,2.34,1.31,5.8,10.52,1.71,2.25
06/09/2023,Bears,Moles,2,1,1.21,8.68,17.87,1.58,3.09,1.17,8.2,17.56,1.47,2.87
09/09/2023,Wolves,Lions,0,4,4.6,4.47,2.05,2.03,2.17,4.1,3.96,1.87,1.94,1.94
12/09/2023,Wolves,Eagles,1,1,3.48,4.04,2.42,1.92,2.1,3.19,3.8,2.2,1.93,1.95
15/09/2023,Wolves,Bears,2,2,2.89,3.7,2.92,2.02,2.04,2.57,3.68,2.7,2.01,1.88
18/09/2023,Wolves,Foxes,2,1,2.05,4.23,4.55,1.99,1.91,1.87,3.9,4.14,2.0,1.89
21/09/2023,Wolves,Otters,3,2,1.81,4.11,5.59,2.13,1.89,1.69,4.06,5.14,2.06,1.84
24/09/2023,Wolves,Rabbits,2,1,1.52,5.36,7.98,1.9,2.1,1.46,4.74,7.39,1.9,1.98
27/09/2023,Wolves,Moles,2,1,1.3,6.83,12.64,1.7,2.71,1.28,6.22,11.49,1.63,2.39
30/09/2023,Foxes,Lions,0,1,5.26,4.72,1.81,2.12,2.26,5.12,4.27,1.66,1.87,2.02
03/10/2023,Foxes,Eagles,1,2,4.32,4.09,1.97,2.06,2.23,3.88,3.96,1.92,1.89,2.0
06/10/2023,Foxes,Bears,1,3,3.17,3.98,2.28,2.05,1.97,3.05,3.72,2.3,2.0,1.89
09/10/2023,Foxes,Wolves,1,0,2.74,3.96,2.91,2.31,2.02,2.48,3.64,2.83,2.07,1.82
12/10/2023,Foxes,Otters,1,0,2.06,4.24,4.25,2.33,1.93,1.9,3.78,4.15,2.14,1.77
15/10/2023,Foxes,Rabbits,2,2,1.77,4.72,6.31,2.24,1.98,1.61,4.24,5.77,2.01,1.88
18/10/2023,Foxes,Moles,2,0,1.45,5.29,8.6,1.9,2.26,1.38,5.3,8.59,1.73,2.2
21/10/2023,Otters,Lions,0,0,7.0,5.02,1.66,2.0,2.16,6.46,4.54,1.52,1.9,1.98
24/10/2023,Otters,Eagles,1,0,5.09,4.48,1.74,2.14,1.91,4.82,4.1,1.72,1.95,1.93
27/10/2023,Otters,Bears,1,3,3.8,3.85,2.27,2.21,1.99,3.71,3.73,2.03,2.1,1.8
30/10/2023,Otters,Wolves,0,1,3.28,3.66,2.64,2.26,1.72,2.96,3.54,2.44,2.22,1.72
02/11/2023,Otters,Foxes,2,0,2.71,3.55,3.15,2.52,1.81,2.51,3.53,2.86,2.23,1.72
05/11/2023,Otters,Rabbits,4,1,1.98,4.0,4.74,2.43,1.78,1.82,3.77,4.61,2.26,1.7
08/11/2023,Otters,Moles,1,0,1.65,5.01,6.93,2.18,1.99,1.53,4.47,6.51,1.96,1.92
11/11/2023,Rabbits,Lions,1,4,10.21,5.54,1.38,1.87,2.36,9.65,5.53,1.34,1.74,2.19
14/11/2023,Rabbits,Eagles,1,2,7.61,4.73,1.62,1.88,2.1,6.93,4.77,1.48,1.82,2.08
17/11/2023,Rabbits,Bears,1,0,5.76,4.26,1.89,2.0,2.05,5.1,4.11,1.69,1.99,1.89
20/11/2023,Rabbits,Wolves,0,5,3.98,3.98,2.16,2.19,1.78,3.91,3.72,1.98,2.16,1.76
23/11/2023,Rabbits,Foxes,1,0,3.59,4.0,2.53,2.19,1.78,3.23,3.57,2.26,2.21,1.73
26/11/2023,Rabbits,Otters,2,0,3.06,3.6,2.95,2.38,1.67,2.75,3.42,2.67,2.4,1.63
29/11/2023,Rabbits,Moles,0,2,1.85,3.88,4.58,2.14,1.8,1.79,3.9,4.61,2.1,1.8
02/12/2023,Moles,Lions,1,1,17.64,8.49,1.35,1.49,2.76,15.85,7.69,1.19,1.49,2.76
05/12/2023,Moles,Eagles,0,1,11.59,6.3,1.29,1.65,2.84,10.78,6.24,1.29,1.57,2.53
08/12/2023,Moles,Bears,1,1,8.15,5.25,1.6,1.91,2.21,7.45,5.03,1.43,1.74,2.2
11/12/2023,Moles,Wolves,0,2,5.59,4.59,1.78,2.14,2.1,5.41,4.29,1.63,1.91,1.97
14/12/2023,Moles,Foxes,0,2,4.85,4.35,1.92,2.12,2.01,4.32,3.96,1.83,1.98,1.9
17/12/2023,Moles,Otters,2,0,3.82,3.96,2.3,2.17,1.91,3.54,3.63,2.11,2.19,1.74
20/12/2023,Moles,Rabbits,2,1,3.07,3.92,2.73,2.47,1.85,2.72,3.52,2.63,2.23,1.72
